Quantity,DigiKey part number,Designator,Package,Designation
1,336-3881-1-ND,U4,QFP64,EFM32GG332F1024
1,122-1932-ND,U2,FTG256,xc7a_ftg256
27,399-5343-1-ND,C1 C2 C36 C37 C39 C40 C41 C42 C44 C45 C46 C47 C48 C49 C50 C51 C54 C62 C75 C60 C63 C64 C72 C73 C74 C76 C71,C_0603_HandSoldering,100n
9,399-3133-1-ND,C4 C5 C11 C12 C18 C19 C25 C26 C32,C_0805_HandSoldering,4.7u
14,399-7339-1-ND,C6 C7 C9 C13 C14 C15 C20 C21 C22 C23 C27 C28 C29 C30,C_0603_HandSoldering,470n
5,399-5515-1-ND,C10 C16 C17 C24 C8,C_1210_HandSoldering,47u
4,399-1284-1-ND,C31 C33 C58 C69,C_0805_HandSoldering,1u
2,399-1050-1-ND,C34 C35,C_0603_HandSoldering,12p
5,399-8013-1-ND,C38 C43 C61 C53 C59,C_0805_HandSoldering,10u
6,399-12069-1-ND,C66 C55 C56 C67 C68 C65,C_0805_HandSoldering,22u
1,399-8980-1-ND,C70,C_0603_HandSoldering,100p
1,516-1445-1-ND,D1,LED_0805_HandSoldering,Blue
1,475-1410-1-ND,D2,LED_0805_HandSoldering,Green
1,475-1278-1-ND,D3,LED_0805_HandSoldering,Red
4,490-1054-1-ND,L1 L2 L3 L7,L_0805_HandSoldering,Ferrite_Bead
1,RR12P2.4KDCT-ND,R1,R_0805_HandSoldering,2.4k
7,311-4.70KCRCT-ND,R2 R3 R4 R5 R6 R7 R8,R_0805_HandSoldering,4.7k
1,311-330CRCT-ND,R9,R_0805_HandSoldering,330
3,311-91.0CRCT-ND,R10 R11 R31,R_0805_HandSoldering,91
2,311-15.0CRCT-ND,R12 R13,R_0805_HandSoldering,15
1,RR12P3.6KDCT-ND,R21,R_0805_HandSoldering,3.6k
2,P100KDACT-ND,R22 R28,R_0805_HandSoldering,100k
1,P6.81KDACT-ND,R23,R_0805_HandSoldering,6.81k
3,P22.1KDACT-ND,R24 R29 R30,R_0805_HandSoldering,22.1k
1,RL12S1.00FCT-ND,R25,R_0805_HandSoldering,1
1,P30.1KDACT-ND,R26,R_0805_HandSoldering,30.1k
1,P73.2KDACT-ND,R27,R_0805_HandSoldering,73.2k
4,RR12P10.0KDCT-ND,R32 R33 R34 R42,R_0805_HandSoldering,10k
5,P100DACT-ND,R35 R36 R38 R39 R40,R_0805_HandSoldering,100
1,A103179CT-ND,R37,R_0805_HandSoldering,22
1,P68DACT-ND,R41,R_0805_HandSoldering,68
1,LT1009CMS8#PBF-ND,U13,MSOP-8_3x3mm_Pitch0.65mm,LT1009
3,296-16845-1-ND,U16 U17 U18,SSOP-8_2.95x2.8mm_Pitch0.65mm,74LVC2T45
1,CRA2512-FZ-R025ELFCT-ND,R14,R_2512_HandSoldering,0.025
2,CRA2512-FZ-R050ELFCT-ND,R15 R16,R_2512_HandSoldering,0.05
2,CRA2512-FZ-R100ELFCT-ND,R17 R18,R_2512_HandSoldering,0.1
1,RHC2512FT1R00CT-ND,R19,R_2512_HandSoldering,1
1,PT10.0AFCT-ND,R20,R_2512_HandSoldering,10
2,399-3710-1-ND,C52 C3,CP_Tantalum_Case-B_EIA-3528-21_Hand,100u
1,399-10049-1-ND,C57,C_0603_HandSoldering,3.3n
1,277-1731-ND,J2,TerminalBlock_Phoenix_PT-3.5mm_14pol,
1,428-4207-ND,U1,SOIJ-8_5.3x5.3mm_Pitch1.27mm,S25FL127S
1,535-9149-1-ND,Y1,Crystal_SMD_3225-4pin_3.2x2.5mm_HandSoldering,48MHz
1,535-9983-1-ND,U3,Oscillator_SMD_Abracon_ASE-4pin_3.2x2.5mm_HandSoldering,20MHz oscillator
3,WM17469-ND,J3 J4 J5,Pin_Header_Straight_2x07_Pitch2.00mm,
1,S9172-ND,J6,Pin_Header_Straight_2x10_Pitch2.54mm,
1,296-30159-5-ND ,U15,TSSOP-16-1EP_4.4x5mm_Pitch0.65mm,TPS54294
1,TS53YL-10KCT-ND,RV1,Potentiometer_Trimmer_Vishay_TS53YL,10k
1,445-172354-1-ND,L6,SPM3015,2.2u
2,445-172353-1-ND,L5 L4,SPM3015,1.5u
1,296-24557-1-ND,U14,TSSOP-14_4.4x5mm_Pitch0.65mm_exposed_pad,TPS54325
1,732-5960-1-ND,J1,USB_Micro-B_Wuerth-629105150521,USB Micro-B
7,LMP8640MK-T/NOPBCT-ND,U12 U11 U10 U9 U8 U7 U6,SOT-23-6_Handsoldering,LMP8640
1,1727-2751-1-ND,U5,SOT-23-6_Handsoldering,IP4220CZ6
